Title,Slug,Difficulty,AcceptanceRate,Topics
"Palindromic Substrings",palindromic-substrings,MEDIUM,0.7275243744292181,"Two Pointers|String|Dynamic Programming"
"Two Sum IV - Input is a BST",two-sum-iv-input-is-a-bst,EASY,0.6324005915350996,"Hash Table|Two Pointers|Tree|Depth-First Search|Breadth-First Search|Binary Search Tree|Binary Tree"
"Maximum Width of Binary Tree",maximum-width-of-binary-tree,MEDIUM,0.45535343537065776,"Tree|Depth-First Search|Breadth-First Search|Binary Tree"
"Strange Printer",strange-printer,HARD,0.6091663686498899,"String|Dynamic Programming"
"Maximum Swap",maximum-swap,MEDIUM,0.52002627591533,"Math|Greedy"
"Number of Longest Increasing Subsequence",number-of-longest-increasing-subsequence,MEDIUM,0.5184592656098103,"Array|Dynamic Programming|Binary Indexed Tree|Segment Tree"
"Valid Parenthesis String",valid-parenthesis-string,MEDIUM,0.4007743655143096,"String|Dynamic Programming|Stack|Greedy"
"24 Game",24-game,HARD,0.5949285147494884,"Array|Math|Backtracking"
"Redundant Connection",redundant-connection,MEDIUM,0.6755901801037207,"Depth-First Search|Breadth-First Search|Union-Find|Graph Theory"
"Knight Probability in Chessboard",knight-probability-in-chessboard,MEDIUM,0.5699548559146143,"Dynamic Programming"
"Max Area of Island",max-area-of-island,MEDIUM,0.7393794174835964,"Array|Depth-First Search|Breadth-First Search|Union-Find|Matrix"
"Search in a Binary Search Tree",search-in-a-binary-search-tree,EASY,0.8264770492870241,"Tree|Binary Search Tree|Binary Tree"
"Insert into a Binary Search Tree",insert-into-a-binary-search-tree,MEDIUM,0.734711951542902,"Tree|Binary Search Tree|Binary Tree"
"Kth Largest Element in a Stream",kth-largest-element-in-a-stream,EASY,0.6094906208362187,"Tree|Design|Binary Search Tree|Heap (Priority Queue)|Binary Tree|Data Stream"
"Binary Search",binary-search,EASY,0.6078389647529225,"Array|Binary Search"
"Design HashSet",design-hashset,EASY,0.6797697051284023,"Array|Hash Table|Linked List|Design|Hash Function"
"Design HashMap",design-hashmap,EASY,0.6653980369167791,"Array|Hash Table|Linked List|Design|Hash Function"
"Minimum ASCII Delete Sum for Two Strings",minimum-ascii-delete-sum-for-two-strings,MEDIUM,0.7097845647591136,"String|Dynamic Programming"
"Best Time to Buy and Sell Stock with Transaction Fee",best-time-to-buy-and-sell-stock-with-transaction-fee,MEDIUM,0.7190728661968842,"Array|Dynamic Programming|Greedy"
"Accounts Merge",accounts-merge,MEDIUM,0.6124183818988156,"Array|Hash Table|String|Depth-First Search|Breadth-First Search|Union-Find|Sorting"
"Number of Atoms",number-of-atoms,HARD,0.6509195411525772,"Hash Table|String|Stack|Sorting"
"Flood Fill",flood-fill,EASY,0.6817265106652212,"Array|Depth-First Search|Breadth-First Search|Matrix"
"Asteroid Collision",asteroid-collision,MEDIUM,0.47742779769031235,"Array|Stack|Simulation"
"Daily Temperatures",daily-temperatures,MEDIUM,0.6862425684472464,"Array|Stack|Monotonic Stack"
"Network Delay Time",network-delay-time,MEDIUM,0.6027596936694711,"Depth-First Search|Breadth-First Search|Graph Theory|Heap (Priority Queue)|Shortest Path"
"Min Cost Climbing Stairs",min-cost-climbing-stairs,EASY,0.6822543340434936,"Array|Dynamic Programming"
"Open the Lock",open-the-lock,MEDIUM,0.6127068828319525,"Array|Hash Table|String|Breadth-First Search"
"Partition Labels",partition-labels,MEDIUM,0.8186248164411208,"Hash Table|Two Pointers|String|Greedy"
"Max Chunks To Make Sorted",max-chunks-to-make-sorted,MEDIUM,0.6414029310238135,"Array|Stack|Greedy|Sorting|Monotonic Stack"
"K-th Symbol in Grammar",k-th-symbol-in-grammar,MEDIUM,0.48251788652886723,"Math|Bit Manipulation|Recursion"
"Rabbits in Forest",rabbits-in-forest,MEDIUM,0.5805335953163352,"Array|Hash Table|Math|Greedy"
"Is Graph Bipartite?",is-graph-bipartite,MEDIUM,0.5921507602507161,"Depth-First Search|Breadth-First Search|Union-Find|Graph Theory"
"Cheapest Flights Within K Stops",cheapest-flights-within-k-stops,MEDIUM,0.41710094206636195,"Dynamic Programming|Depth-First Search|Breadth-First Search|Graph Theory|Heap (Priority Queue)|Shortest Path"
"Rotated Digits",rotated-digits,MEDIUM,0.6179618990021167,"Math|Dynamic Programming"
"Domino and Tromino Tiling",domino-and-tromino-tiling,MEDIUM,0.5136550044036637,"Dynamic Programming"
"Rotate String",rotate-string,EASY,0.6539300012209462,"String|String Matching"
"All Paths From Source to Target",all-paths-from-source-to-target,MEDIUM,0.8359734998631891,"Backtracking|Depth-First Search|Breadth-First Search|Graph Theory"
"Champagne Tower",champagne-tower,MEDIUM,0.6410109748686232,"Dynamic Programming"
"Minimum Swaps To Make Sequences Increasing",minimum-swaps-to-make-sequences-increasing,HARD,0.4144994738364659,"Array|Dynamic Programming"
"Find Eventual Safe States",find-eventual-safe-states,MEDIUM,0.7064121876409115,"Depth-First Search|Breadth-First Search|Graph Theory|Topological Sort"
"Soup Servings",soup-servings,MEDIUM,0.5963591974116169,"Math|Dynamic Programming|Probability and Statistics"
"Bus Routes",bus-routes,HARD,0.4727966058809414,"Array|Hash Table|Breadth-First Search"
"Making A Large Island",making-a-large-island,HARD,0.5653127902237605,"Array|Depth-First Search|Breadth-First Search|Union-Find|Matrix"
"Sum of Distances in Tree",sum-of-distances-in-tree,HARD,0.6557903411665233,"Dynamic Programming|Tree|Depth-First Search|Graph Theory"
"New 21 Game",new-21-game,MEDIUM,0.5195335408490098,"Math|Dynamic Programming|Sliding Window|Probability and Statistics"
"Push Dominoes",push-dominoes,MEDIUM,0.6301114935524778,"Two Pointers|String|Dynamic Programming"
"Similar String Groups",similar-string-groups,HARD,0.5624995088678816,"Array|Hash Table|String|Depth-First Search|Breadth-First Search|Union-Find"
"Keys and Rooms",keys-and-rooms,MEDIUM,0.7570609543598116,"Depth-First Search|Breadth-First Search|Graph Theory"
"Hand of Straights",hand-of-straights,MEDIUM,0.579223369853013,"Array|Hash Table|Greedy|Sorting"
"Shortest Path Visiting All Nodes",shortest-path-visiting-all-nodes,HARD,0.6593326717504091,"Dynamic Programming|Bit Manipulation|Breadth-First Search|Graph Theory|Bitmask"
"Shifting Letters",shifting-letters,MEDIUM,0.46194451015511473,"Array|String|Prefix Sum"
"Peak Index in a Mountain Array",peak-index-in-a-mountain-array,MEDIUM,0.6685458155547098,"Array|Binary Search"
"Lemonade Change",lemonade-change,EASY,0.5907919798389774,"Array|Greedy"
"Shortest Subarray with Sum at Least K",shortest-subarray-with-sum-at-least-k,HARD,0.32745850285413736,"Array|Binary Search|Queue|Sliding Window|Heap (Priority Queue)|Prefix Sum|Monotonic Queue"
"All Nodes Distance K in Binary Tree",all-nodes-distance-k-in-binary-tree,MEDIUM,0.6760983404416385,"Hash Table|Tree|Depth-First Search|Breadth-First Search|Binary Tree"
"Binary Gap",binary-gap,EASY,0.742537841767365,"Bit Manipulation"
"Reordered Power of 2",reordered-power-of-2,MEDIUM,0.6593850226689981,"Hash Table|Math|Sorting|Counting|Enumeration"
"Length of Longest Fibonacci Subsequence",length-of-longest-fibonacci-subsequence,MEDIUM,0.5753378035455191,"Array|Hash Table|Dynamic Programming"
"Walking Robot Simulation",walking-robot-simulation,MEDIUM,0.6460588029932758,"Array|Hash Table|Simulation"
"Koko Eating Bananas",koko-eating-bananas,MEDIUM,0.4995173775801737,"Array|Binary Search"
"Middle of the Linked List",middle-of-the-linked-list,EASY,0.8178038796089644,"Linked List|Two Pointers"
"Stone Game",stone-game,MEDIUM,0.7323617170762171,"Array|Math|Dynamic Programming|Game Theory"
"Profitable Schemes",profitable-schemes,HARD,0.48311202863320424,"Array|Dynamic Programming"
"Boats to Save People",boats-to-save-people,MEDIUM,0.6171139317506612,"Array|Two Pointers|Greedy|Sorting"
"Possible Bipartition",possible-bipartition,MEDIUM,0.5257011189495446,"Depth-First Search|Breadth-First Search|Union-Find|Graph Theory"
"Construct Binary Tree from Preorder and Postorder Traversal",construct-binary-tree-from-preorder-and-postorder-traversal,MEDIUM,0.7805627740926802,"Array|Hash Table|Divide and Conquer|Tree|Binary Tree"
"All Possible Full Binary Trees",all-possible-full-binary-trees,MEDIUM,0.827632466606272,"Dynamic Programming|Tree|Recursion|Memoization|Binary Tree"
"Bitwise ORs of Subarrays",bitwise-ors-of-subarrays,MEDIUM,0.5684319614229516,"Array|Dynamic Programming|Bit Manipulation"
"Online Stock Span",online-stock-span,MEDIUM,0.689901937532868,"Stack|Design|Monotonic Stack|Data Stream"
"Numbers At Most N Given Digit Set",numbers-at-most-n-given-digit-set,HARD,0.4498451507742461,"Array|Math|String|Binary Search|Dynamic Programming"
"Fruit Into Baskets",fruit-into-baskets,MEDIUM,0.5098411474626454,"Array|Hash Table|Sliding Window"
"Sum of Subarray Minimums",sum-of-subarray-minimums,MEDIUM,0.38482458221024257,"Array|Dynamic Programming|Stack|Monotonic Stack"
"Snakes and Ladders",snakes-and-ladders,MEDIUM,0.4806710747636448,"Array|Breadth-First Search|Matrix"
"Word Subsets",word-subsets,MEDIUM,0.5591942142242766,"Array|Hash Table|String"
"Number of Music Playlists",number-of-music-playlists,HARD,0.6004130762072644,"Math|Dynamic Programming|Combinatorics"
"Minimum Add to Make Parentheses Valid",minimum-add-to-make-parentheses-valid,MEDIUM,0.7440287188426155,"String|Stack|Greedy"
"Flip String to Monotone Increasing",flip-string-to-monotone-increasing,MEDIUM,0.6188058367652458,"String|Dynamic Programming"
"Binary Subarrays With Sum",binary-subarrays-with-sum,MEDIUM,0.6872114145044974,"Array|Hash Table|Sliding Window|Prefix Sum"
"Minimum Falling Path Sum",minimum-falling-path-sum,MEDIUM,0.6081660489634398,"Array|Dynamic Programming|Matrix"
"Range Sum of BST",range-sum-of-bst,EASY,0.875845681446293,"Tree|Depth-First Search|Binary Search Tree|Binary Tree"
"Validate Stack Sequences",validate-stack-sequences,MEDIUM,0.7037650321859542,"Array|Stack|Simulation"
"Most Stones Removed with Same Row or Column",most-stones-removed-with-same-row-or-column,MEDIUM,0.6289501972855874,"Hash Table|Depth-First Search|Union-Find|Graph Theory"
"Bag of Tokens",bag-of-tokens,MEDIUM,0.595886884876903,"Array|Two Pointers|Greedy|Sorting"
"Tallest Billboard",tallest-billboard,HARD,0.5184149387868062,"Array|Dynamic Programming"
"Check Completeness of a Binary Tree",check-completeness-of-a-binary-tree,MEDIUM,0.5914845835250805,"Tree|Breadth-First Search|Binary Tree"
"Maximum Width Ramp",maximum-width-ramp,MEDIUM,0.558776180455331,"Array|Two Pointers|Stack|Monotonic Stack"
"Unique Paths III",unique-paths-iii,HARD,0.8284442884940507,"Array|Backtracking|Bit Manipulation|Matrix"
"Minimum Cost For Tickets",minimum-cost-for-tickets,MEDIUM,0.6741557648750264,"Array|Dynamic Programming"
"Vertical Order Traversal of a Binary Tree",vertical-order-traversal-of-a-binary-tree,HARD,0.5364130536584635,"Hash Table|Tree|Depth-First Search|Breadth-First Search|Sorting|Binary Tree"
"Broken Calculator",broken-calculator,MEDIUM,0.5605750888902041,"Math|Greedy"
"Subarrays with K Different Integers",subarrays-with-k-different-integers,HARD,0.6801651452622373,"Array|Hash Table|Sliding Window|Counting"
"Rotting Oranges",rotting-oranges,MEDIUM,0.585571447355902,"Array|Breadth-First Search|Matrix"
"Minimum Number of K Consecutive Bit Flips",minimum-number-of-k-consecutive-bit-flips,HARD,0.6230277537576424,"Array|Bit Manipulation|Queue|Sliding Window|Prefix Sum"
"Max Consecutive Ones III",max-consecutive-ones-iii,MEDIUM,0.676131311327092,"Array|Binary Search|Sliding Window|Prefix Sum"
"Minimum Domino Rotations For Equal Row",minimum-domino-rotations-for-equal-row,MEDIUM,0.5648700338888467,"Array|Greedy"
"Construct Binary Search Tree from Preorder Traversal",construct-binary-search-tree-from-preorder-traversal,MEDIUM,0.8422442580036446,"Array|Stack|Tree|Binary Search Tree|Monotonic Stack|Binary Tree"
"Capacity To Ship Packages Within D Days",capacity-to-ship-packages-within-d-days,MEDIUM,0.7384709826245845,"Array|Binary Search"
"Number of Enclaves",number-of-enclaves,MEDIUM,0.7168170430818516,"Array|Depth-First Search|Breadth-First Search|Union-Find|Matrix"
"Longest Arithmetic Subsequence",longest-arithmetic-subsequence,MEDIUM,0.49954822069360444,"Array|Hash Table|Binary Search|Dynamic Programming"
"Recover a Tree From Preorder Traversal",recover-a-tree-from-preorder-traversal,HARD,0.8321031823579814,"String|Tree|Depth-First Search|Binary Tree"
"Uncrossed Lines",uncrossed-lines,MEDIUM,0.6520864622218966,"Array|Dynamic Programming"
"Minimum Score Triangulation of Polygon",minimum-score-triangulation-of-polygon,MEDIUM,0.6744554002468629,"Array|Dynamic Programming"
"Partition Array for Maximum Sum",partition-array-for-maximum-sum,MEDIUM,0.7733754611958367,"Array|Dynamic Programming"
"Customers Who Bought All Products",customers-who-bought-all-products,MEDIUM,0.6395356619350131,"Database"
"Remove All Adjacent Duplicates In String",remove-all-adjacent-duplicates-in-string,EASY,0.7315787091897364,"String|Stack"
"Longest String Chain",longest-string-chain,MEDIUM,0.6298951900959251,"Array|Hash Table|Two Pointers|String|Dynamic Programming|Sorting"
"Lexicographically Smallest Equivalent String",lexicographically-smallest-equivalent-string,MEDIUM,0.8115415083087822,"String|Union-Find"
"Product Sales Analysis I",product-sales-analysis-i,EASY,0.8573883977262521,"Database"
"Product Sales Analysis III",product-sales-analysis-iii,MEDIUM,0.4594707472298785,"Database"
"Flip Columns For Maximum Number of Equal Rows",flip-columns-for-maximum-number-of-equal-rows,MEDIUM,0.785331290693221,"Array|Hash Table|Matrix"
"Project Employees I",project-employees-i,EASY,0.6671976172735932,"Database"
"Letter Tile Possibilities",letter-tile-possibilities,MEDIUM,0.8353335021787553,"Hash Table|String|Backtracking|Counting"
"Shortest Path in Binary Matrix",shortest-path-in-binary-matrix,MEDIUM,0.5143400484344658,"Array|Breadth-First Search|Matrix"
"Shortest Common Supersequence ",shortest-common-supersequence,HARD,0.6188125578161491,"String|Dynamic Programming"
"Parsing A Boolean Expression",parsing-a-boolean-expression,HARD,0.69770418329028,"String|Stack|Recursion"
"Corporate Flight Bookings",corporate-flight-bookings,MEDIUM,0.6710166668785518,"Array|Prefix Sum"
"Lowest Common Ancestor of Deepest Leaves",lowest-common-ancestor-of-deepest-leaves,MEDIUM,0.7944804140162541,"Hash Table|Tree|Depth-First Search|Breadth-First Search|Binary Tree"
"Smallest Sufficient Team",smallest-sufficient-team,HARD,0.5553549894765225,"Array|Dynamic Programming|Bit Manipulation|Bitmask"
"Number of Equivalent Domino Pairs",number-of-equivalent-domino-pairs,EASY,0.6067399332856802,"Array|Hash Table|Counting"
"Shortest Path with Alternating Colors",shortest-path-with-alternating-colors,MEDIUM,0.4797069314566663,"Breadth-First Search|Graph Theory"
"Minimum Cost Tree From Leaf Values",minimum-cost-tree-from-leaf-values,MEDIUM,0.6785064260750137,"Array|Dynamic Programming|Stack|Greedy|Monotonic Stack"
"Stone Game II",stone-game-ii,MEDIUM,0.7282163162766098,"Array|Math|Dynamic Programming|Prefix Sum|Game Theory"
"User Activity for the Past 30 Days I",user-activity-for-the-past-30-days-i,EASY,0.5075506472704188,"Database"
"Longest Common Subsequence",longest-common-subsequence,MEDIUM,0.5911664965594442,"String|Dynamic Programming"
"Snapshot Array",snapshot-array,MEDIUM,0.3672923586951537,"Array|Hash Table|Binary Search|Design"
"Article Views I",article-views-i,EASY,0.7665958775412441,"Database"
"Number of Dice Rolls With Target Sum",number-of-dice-rolls-with-target-sum,MEDIUM,0.6231821390751853,"Dynamic Programming"
"Product Price at a Given Date",product-price-at-a-given-date,MEDIUM,0.5782301437870971,"Database"
"Remove Zero Sum Consecutive Nodes from Linked List",remove-zero-sum-consecutive-nodes-from-linked-list,MEDIUM,0.5314862457945775,"Hash Table|Linked List"
"Immediate Food Delivery II",immediate-food-delivery-ii,MEDIUM,0.559525554593372,"Database"
"Make Array Strictly Increasing",make-array-strictly-increasing,HARD,0.5785177874093465,"Array|Binary Search|Dynamic Programming|Sorting"
"Reverse Substrings Between Each Pair of Parentheses",reverse-substrings-between-each-pair-of-parentheses,MEDIUM,0.7197200136234981,"String|Stack"
"Monthly Transactions I",monthly-transactions-i,MEDIUM,0.591073574700391,"Database"
"Sort Items by Groups Respecting Dependencies",sort-items-by-groups-respecting-dependencies,HARD,0.6585800613106373,"Depth-First Search|Breadth-First Search|Graph Theory|Topological Sort"
"Last Person to Fit in the Bus",last-person-to-fit-in-the-bus,MEDIUM,0.6919856738466534,"Database"
"Queries Quality and Percentage",queries-quality-and-percentage,EASY,0.5296010980978941,"Database"
"Longest Arithmetic Subsequence of Given Difference",longest-arithmetic-subsequence-of-given-difference,MEDIUM,0.5433735813595613,"Array|Hash Table|Dynamic Programming"
"Path with Maximum Gold",path-with-maximum-gold,MEDIUM,0.6840703278364082,"Array|Backtracking|Matrix"
"Remove Sub-Folders from the Filesystem",remove-sub-folders-from-the-filesystem,MEDIUM,0.785978830505118,"Array|String|Depth-First Search|Trie"
"Maximum Profit in Job Scheduling",maximum-profit-in-job-scheduling,HARD,0.5472214760900123,"Array|Binary Search|Dynamic Programming|Sorting"
"Maximum Length of a Concatenated String with Unique Characters",maximum-length-of-a-concatenated-string-with-unique-characters,MEDIUM,0.5473960227961683,"Array|String|Backtracking|Bit Manipulation"
"Count Number of Nice Subarrays",count-number-of-nice-subarrays,MEDIUM,0.7502364938694981,"Array|Hash Table|Math|Sliding Window|Prefix Sum"
"Minimum Remove to Make Valid Parentheses",minimum-remove-to-make-valid-parentheses,MEDIUM,0.7141403645495086,"String|Stack"
"Average Selling Price",average-selling-price,EASY,0.3728228773502369,"Database"
"Maximum Score Words Formed by Letters",maximum-score-words-formed-by-letters,HARD,0.814988038277512,"Array|Hash Table|String|Dynamic Programming|Backtracking|Bit Manipulation|Counting|Bitmask"
"Find Elements in a Contaminated Binary Tree",find-elements-in-a-contaminated-binary-tree,MEDIUM,0.8409615645796549,"Hash Table|Tree|Depth-First Search|Breadth-First Search|Design|Binary Tree"
"Count Servers that Communicate",count-servers-that-communicate,MEDIUM,0.7352459286790336,"Array|Depth-First Search|Breadth-First Search|Union-Find|Matrix|Counting"
"Number of Ways to Stay in the Same Place After Some Steps",number-of-ways-to-stay-in-the-same-place-after-some-steps,HARD,0.5013010210239205,"Dynamic Programming"
"Count Square Submatrices with All Ones",count-square-submatrices-with-all-ones,MEDIUM,0.8068614972338353,"Array|Dynamic Programming|Matrix"
"Students and Examinations",students-and-examinations,EASY,0.6115786903625506,"Database"
"Find the Smallest Divisor Given a Threshold",find-the-smallest-divisor-given-a-threshold,MEDIUM,0.6582578192233709,"Array|Binary Search"
"Convert Binary Number in a Linked List to Integer",convert-binary-number-in-a-linked-list-to-integer,EASY,0.8234923374417176,"Linked List|Math"
"Find Numbers with Even Number of Digits",find-numbers-with-even-number-of-digits,EASY,0.7972325752408402,"Array|Math"
"Maximum Candies You Can Get from Boxes",maximum-candies-you-can-get-from-boxes,HARD,0.6750861949204986,"Array|Breadth-First Search|Graph Theory"
"Minimum Insertion Steps to Make a String Palindrome",minimum-insertion-steps-to-make-a-string-palindrome,HARD,0.7384059430575466,"String|Dynamic Programming"
"Number of Operations to Make Network Connected",number-of-operations-to-make-network-connected,MEDIUM,0.6645015361096003,"Depth-First Search|Breadth-First Search|Union-Find|Graph Theory"
"Restaurant Growth",restaurant-growth,MEDIUM,0.5863673189650673,"Database"
"Maximum 69 Number",maximum-69-number,EASY,0.8454809993629148,"Math|Greedy"
"Minimum Number of Taps to Open to Water a Garden",minimum-number-of-taps-to-open-to-water-a-garden,HARD,0.5099901194874842,"Array|Dynamic Programming|Greedy"
"Break a Palindrome",break-a-palindrome,MEDIUM,0.5159236000729603,"String|Greedy"
"Rank Transform of an Array",rank-transform-of-an-array,EASY,0.7084753659882065,"Array|Hash Table|Sorting"
"Find the City With the Smallest Number of Neighbors at a Threshold Distance",find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,MEDIUM,0.7262941784238278,"Dynamic Programming|Graph Theory|Shortest Path"
"Minimum Difficulty of a Job Schedule",minimum-difficulty-of-a-job-schedule,HARD,0.597545420973922,"Array|Dynamic Programming"
"Movie Rating",movie-rating,MEDIUM,0.43281973956770287,"Database"
"Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold",number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold,MEDIUM,0.7275157653637934,"Array|Sliding Window"
"Check If N and Its Double Exist",check-if-n-and-its-double-exist,EASY,0.41771155363936896,"Array|Hash Table|Two Pointers|Binary Search|Sorting"
"Product of the Last K Numbers",product-of-the-last-k-numbers,MEDIUM,0.6291547764478866,"Array|Math|Design|Data Stream|Prefix Sum"
"Maximum Number of Events That Can Be Attended",maximum-number-of-events-that-can-be-attended,MEDIUM,0.3896177961065451,"Array|Greedy|Sorting|Heap (Priority Queue)"
"Sort Integers by The Number of 1 Bits",sort-integers-by-the-number-of-1-bits,EASY,0.823179043627199,"Array|Bit Manipulation|Sorting|Counting"
"Number of Substrings Containing All Three Characters",number-of-substrings-containing-all-three-characters,MEDIUM,0.7366098548358094,"Hash Table|String|Sliding Window"
"Validate Binary Tree Nodes",validate-binary-tree-nodes,MEDIUM,0.44106089099280205,"Tree|Depth-First Search|Breadth-First Search|Union-Find|Graph Theory|Binary Tree"
"Minimum Cost to Make at Least One Valid Path in a Grid",minimum-cost-to-make-at-least-one-valid-path-in-a-grid,HARD,0.7094893113151093,"Array|Breadth-First Search|Graph Theory|Heap (Priority Queue)|Matrix|Shortest Path"
"Replace Employee ID With The Unique Identifier",replace-employee-id-with-the-unique-identifier,EASY,0.83546431282909,"Database"
"Design a Stack With Increment Operation",design-a-stack-with-increment-operation,MEDIUM,0.7989657105940001,"Array|Stack|Design"
"Pizza With 3n Slices",pizza-with-3n-slices,HARD,0.5380674742443111,"Array|Dynamic Programming|Greedy|Heap (Priority Queue)"
"Find Lucky Integer in an Array",find-lucky-integer-in-an-array,EASY,0.7552570352807452,"Array|Hash Table|Counting"
"Design Underground System",design-underground-system,MEDIUM,0.7447307560725283,"Hash Table|String|Design"
"Count Largest Group",count-largest-group,EASY,0.7470623397776646,"Hash Table|Math|Counting"
"Construct K Palindrome Strings",construct-k-palindrome-strings,MEDIUM,0.6854493673355267,"Hash Table|String|Greedy|Counting"
"Reducing Dishes",reducing-dishes,HARD,0.7669395217076223,"Array|Dynamic Programming|Greedy|Sorting"
"Longest Happy String",longest-happy-string,MEDIUM,0.6548438753388343,"String|Greedy|Heap (Priority Queue)"
"Stone Game III",stone-game-iii,HARD,0.6331570864289884,"Array|Math|Dynamic Programming|Game Theory"
"String Matching in an Array",string-matching-in-an-array,EASY,0.6977681192356495,"Array|String|String Matching"
"The k-th Lexicographical String of All Happy Strings of Length n",the-k-th-lexicographical-string-of-all-happy-strings-of-length-n,MEDIUM,0.8711970528246398,"String|Backtracking"
"Restore The Array",restore-the-array,HARD,0.46740627548258445,"String|Dynamic Programming"
"Build Array Where You Can Find The Maximum Exactly K Comparisons",build-array-where-you-can-find-the-maximum-exactly-k-comparisons,HARD,0.6573842696629213,"Dynamic Programming|Prefix Sum"
"Maximum Score After Splitting a String",maximum-score-after-splitting-a-string,EASY,0.6504751719188724,"String|Prefix Sum"
"Maximum Points You Can Obtain from Cards",maximum-points-you-can-obtain-from-cards,MEDIUM,0.5757509339975093,"Array|Sliding Window|Prefix Sum"
"Max Difference You Can Get From Changing an Integer",max-difference-you-can-get-from-changing-an-integer,MEDIUM,0.4877007049674614,"Math|Greedy"
"Build an Array With Stack Operations",build-an-array-with-stack-operations,MEDIUM,0.8094048090695761,"Array|Stack|Simulation"
"Minimum Time to Collect All Apples in a Tree",minimum-time-to-collect-all-apples-in-a-tree,MEDIUM,0.6363109474870003,"Hash Table|Tree|Depth-First Search|Breadth-First Search"
"Number of Ways of Cutting a Pizza",number-of-ways-of-cutting-a-pizza,HARD,0.6159698869154153,"Array|Dynamic Programming|Memoization|Matrix|Prefix Sum"
"Check If a Word Occurs As a Prefix of Any Word in a Sentence",check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,EASY,0.6877025777250215,"Two Pointers|String|String Matching"
"Max Dot Product of Two Subsequences",max-dot-product-of-two-subsequences,HARD,0.6934520371315815,"Array|Dynamic Programming"
"Course Schedule IV",course-schedule-iv,MEDIUM,0.5984213870574725,"Depth-First Search|Breadth-First Search|Graph Theory|Topological Sort"
"Reorder Routes to Make All Paths Lead to the City Zero",reorder-routes-to-make-all-paths-lead-to-the-city-zero,MEDIUM,0.6576832501687992,"Depth-First Search|Breadth-First Search|Graph Theory"
"Design Browser History",design-browser-history,MEDIUM,0.7833026886699912,"Array|Linked List|Stack|Design|Doubly-Linked List|Data Stream"
"Final Prices With a Special Discount in a Shop",final-prices-with-a-special-discount-in-a-shop,EASY,0.8411846295581336,"Array|Stack|Monotonic Stack"
"Minimum Number of Days to Make m Bouquets",minimum-number-of-days-to-make-m-bouquets,MEDIUM,0.5647369936036458,"Array|Binary Search"
"Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree",find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,HARD,0.6648693898860425,"Union-Find|Graph Theory|Sorting|Minimum Spanning Tree|Strongly Connected Component"
"Longest Subarray of 1's After Deleting One Element",longest-subarray-of-1s-after-deleting-one-element,MEDIUM,0.7116245086725648,"Array|Dynamic Programming|Sliding Window"
"Number of Subsequences That Satisfy the Given Sum Condition",number-of-subsequences-that-satisfy-the-given-sum-condition,MEDIUM,0.491867616832593,"Array|Two Pointers|Binary Search|Sorting"
"Count Submatrices With All Ones",count-submatrices-with-all-ones,MEDIUM,0.7101520587406307,"Array|Dynamic Programming|Stack|Matrix|Monotonic Stack"
"Path with Maximum Probability",path-with-maximum-probability,MEDIUM,0.6551698765060082,"Array|Graph Theory|Heap (Priority Queue)|Shortest Path"
"Number of Nodes in the Sub-Tree With the Same Label",number-of-nodes-in-the-sub-tree-with-the-same-label,MEDIUM,0.5540177237877129,"Hash Table|Tree|Depth-First Search|Breadth-First Search|Counting"
"Number of Sub-arrays With Odd Sum",number-of-sub-arrays-with-odd-sum,MEDIUM,0.557058619493583,"Array|Math|Dynamic Programming|Prefix Sum"
"Patients With a Condition",patients-with-a-condition,EASY,0.38877922141110766,"Database"
"Count Good Triplets",count-good-triplets,EASY,0.8551864491130781,"Array|Enumeration"
"Minimum Swaps to Arrange a Binary Grid",minimum-swaps-to-arrange-a-binary-grid,MEDIUM,0.7012526193871471,"Array|Greedy|Matrix"
"Kth Missing Positive Number",kth-missing-positive-number,EASY,0.634324387532138,"Array|Binary Search"
"Find Kth Bit in Nth Binary String",find-kth-bit-in-nth-binary-string,MEDIUM,0.7368274463126309,"String|Recursion|Simulation"
"Minimum Cost to Cut a Stick",minimum-cost-to-cut-a-stick,HARD,0.6298349098918813,"Array|Dynamic Programming|Sorting"
"Three Consecutive Odds",three-consecutive-odds,EASY,0.6932929676555739,"Array"
"Minimum Number of Vertices to Reach All Nodes",minimum-number-of-vertices-to-reach-all-nodes,MEDIUM,0.8156984833727564,"Graph Theory"
"Count All Possible Routes",count-all-possible-routes,HARD,0.6482020430884622,"Array|Dynamic Programming|Memoization"
"Minimum Time to Make Rope Colorful",minimum-time-to-make-rope-colorful,MEDIUM,0.6521854110509984,"Array|String|Dynamic Programming|Greedy"
"Remove Max Number of Edges to Keep Graph Fully Traversable",remove-max-number-of-edges-to-keep-graph-fully-traversable,HARD,0.7017390840856119,"Union-Find|Graph Theory"
"Customer Who Visited but Did Not Make Any Transactions",customer-who-visited-but-did-not-make-any-transactions,EASY,0.6767158863378936,"Database"
"Special Positions in a Binary Matrix",special-positions-in-a-binary-matrix,EASY,0.7265336063820033,"Array|Matrix"
